,player_display_name,position_group,next_fantasy_points,importance,replacement,PAR,draft_value
103,Isaiah Davis,RB,5.078817704063536,1.2346904563733496,12.204858180127662,-7.126040476064126,-8.798454167526577
104,Jaylen Wright,RB,5.745149091109133,1.2346904563733496,12.204858180127662,-6.459709089018529,-7.975741163159362
105,Ray Davis,RB,6.225343208933359,1.2346904563733496,12.204858180127662,-5.979514971194303,-7.38285006867517
106,Trey Benson,RB,6.496314171225731,1.2346904563733496,12.204858180127662,-5.708544008901931,-7.048284807578476
0,Adam Thielen,WR,10.14329811385255,1.1252607129235312,10.747083344871141,-0.6037852310185912,-0.6794157995086789
1,Keenan Allen,WR,11.131628548925386,1.1252607129235312,10.747083344871141,0.38454520405424475,0.43271361046540424
2,Robert Woods,WR,3.3396868948098373,1.1252607129235312,10.747083344871141,-7.407396450061304,-8.335252210303217
3,DeAndre Hopkins,WR,6.520542042213414,1.1252607129235312,10.747083344871141,-4.226541302657727,-4.755960879429384
4,Odell Beckham,WR,3.2476470034791802,1.1252607129235312,10.747083344871141,-7.499436341391961,-8.438821084039358
5,Brandin Cooks,WR,3.3296141649001703,1.1252607129235312,10.747083344871141,-7.417469179970971,-8.346586657542456
6,Davante Adams,WR,16.77075396821443,1.1252607129235312,10.747083344871141,6.023670623343287,6.778199900039799
7,Mike Evans,WR,13.665732987618389,1.1252607129235312,10.747083344871141,2.9186496427472477,3.284241777771778
8,Allen Robinson,WR,5.471211167521129,1.1252607129235312,10.747083344871141,-5.275872177350013,-5.936731687578298
9,Amari Cooper,WR,6.702418846433418,1.1252607129235312,10.747083344871141,-4.044664498437723,-4.551302057048529
10,Nelson Agholor,WR,2.742262879962737,1.1252607129235312,10.747083344871141,-8.004820464908404,-9.007509983167703
11,Stefon Diggs,WR,11.161440737369569,1.1252607129235312,10.747083344871141,0.4143573924984274,0.46626009488791587
12,DeAndre Carter,WR,2.666188986793717,1.1252607129235312,10.747083344871141,-8.080894358077424,-9.093112946429944
13,Chris Conley,WR,2.964263945494394,1.1252607129235312,10.747083344871141,-7.782819399376747,-8.757700905897767
14,Tyler Lockett,WR,6.131105598336832,1.1252607129235312,10.747083344871141,-4.615977746534309,-5.194178409904352
15,Sterling Shepard,WR,5.129982324670182,1.1252607129235312,10.747083344871141,-5.617101020200959,-6.320703098554826
16,Kalif Raymond,WR,5.78850488861003,1.1252607129235312,10.747083344871141,-4.958578456261112,-5.579693528779641
17,Demarcus Robinson,WR,7.607138031225754,1.1252607129235312,10.747083344871141,-3.139945313645387,-3.533257102173509
18,Tyler Boyd,WR,3.7513085191783033,1.1252607129235312,10.747083344871141,-6.995774825692838,-7.872070567811615
19,Tyreek Hill,WR,10.358458207576929,1.1252607129235312,10.747083344871141,-0.38862513729421266,-0.43730459905169095
20,Curtis Samuel,WR,5.35222209965746,1.1252607129235312,10.747083344871141,-5.394861245213681,-6.070625410912676
21,Kendrick Bourne,WR,2.711304020156334,1.1252607129235312,10.747083344871141,-8.035779324714808,-9.042346771824757
22,Tim Patrick,WR,4.8672093109158014,1.1252607129235312,10.747083344871141,-5.87987403395534,-6.616391247349146
23,Mike Williams,WR,4.64060335665963,1.1252607129235312,10.747083344871141,-6.106479988211511,-6.871382024988161
24,Mack Hollins,WR,4.869223456973274,1.1252607129235312,10.747083344871141,-5.877859887897867,-6.614124807920581
25,David Moore,WR,4.571737546079188,1.1252607129235312,10.747083344871141,-6.1753457987919536,-6.948874016097967
26,Noah Brown,WR,5.912672357375448,1.1252607129235312,10.747083344871141,-4.834410987495693,-5.4399727543547565
27,JuJu Smith-Schuster,WR,5.27120382077592,1.1252607129235312,10.747083344871141,-5.475879524095221,-6.161792097166756
28,Zay Jones,WR,3.7501945056415553,1.1252607129235312,10.747083344871141,-6.996888839229586,-7.873324123478183
29,Cooper Kupp,WR,11.654677727188266,1.1252607129235312,10.747083344871141,0.9075943823171251,1.0212803016915601
30,Chris Godwin,WR,17.58433171335793,1.1252607129235312,10.747083344871141,6.837248368486788,7.693686973558695
